path	deprecated	experimental	chrome	chrome_android
css.properties.text-size-adjust.percentages	false	true	54	54
css.properties.text-transform	false	false	1	18
css.properties.text-transform.capitalize	false	false	1	18
css.properties.text-transform.dutch_ij_digraph	false	false	false	false
css.properties.text-transform.full-size-kana	false	false	false	false
css.properties.text-transform.full-width	false	false	false	false
css.properties.text-transform.greek_accented_characters	false	false	34	34
css.properties.text-transform.lowercase_sigma	false	false	30	30
css.properties.text-transform.math-auto	false	true	109	109
css.properties.text-transform.turkic_is	false	false	31	31
css.properties.text-transform.uppercase_eszett	false	false	1	18
css.properties.text-underline-offset	false	false	87	87
css.properties.text-underline-offset.percentage	false	false	87	87
css.properties.text-underline-position	false	false	33	33
css.properties.text-underline-position.from-font	false	false	87	87
css.properties.text-underline-position.left_right	false	false	71	71
css.properties.text-underline-position.under	false	false	33	33
css.properties.text-wrap	false	true	114	114
css.properties.timeline-scope	false	true	116	116
css.properties.top	false	false	1	18
css.properties.touch-action	false	false	36	36
css.properties.touch-action.axis-pan	false	false	36	36
css.properties.touch-action.double-tap-zoom	false	false	false	false
css.properties.touch-action.manipulation	false	false	36	36
css.properties.touch-action.none	false	false	36	36
css.properties.touch-action.pinch-zoom	false	false	56	56
css.properties.touch-action.unidirectional-pan	false	false	55	55
css.properties.transform	false	false	36	36
css.properties.transform.3d	false	false	12	18
css.properties.transform-box	false	false	64	64
css.properties.transform-origin	false	false	36	36
css.properties.transform-origin.support_in_svg	false	false	19	25
css.properties.transform-origin.three_value_syntax	false	false	12	18
css.properties.transform-style	false	false	36	36
css.properties.transition	false	false	26	26
css.properties.transition.gradients	false	false	false	false
css.properties.transition-delay	false	false	26	26
css.properties.transition-duration	false	false	26	26
css.properties.transition-property	false	false	26	26
css.properties.transition-property.IDENT_value	false	false	1	18
css.properties.transition-timing-function	false	false	26	26
css.properties.transition-timing-function.jump	false	false	77	77
css.properties.translate	false	false	104	104
css.properties.unicode-bidi	false	false	2	18
css.properties.unicode-bidi.isolate	false	false	48	48
css.properties.unicode-bidi.isolate-override	false	false	48	48
