Feature	Chrome as of 31 Dec 2022	Edge as of 31 Dec 2022	Firefox as of 31 Dec 2022	Safari as of 31 Dec 2022	Chrome as of 13 Oct 2023	Edge as of 13 Oct 2023	Firefox as of 13 Oct 2023	Safari as of 13 Oct 2023
javascript.statements.import.service_worker_support	true	true	false	true	true	true	true	true
javascript.statements.import.worker_support	true	true	false	true	true	true	true	true
mathml.elements.maction	false	false	true	true	true	true	true	true
mathml.elements.math	false	false	true	true	true	true	true	true
mathml.elements.math.display	false	false	true	true	true	true	true	true
mathml.elements.merror	false	false	true	true	true	true	true	true
mathml.elements.mfrac	false	false	true	true	true	true	true	true
mathml.elements.mfrac.linethickness	false	false	true	true	true	true	true	true
mathml.elements.mi	false	false	true	true	true	true	true	true
mathml.elements.mi.mathvariant	false	false	true	true	true	true	true	true
mathml.elements.mmultiscripts	false	false	true	true	true	true	true	true
mathml.elements.mn	false	false	true	true	true	true	true	true
mathml.elements.mo	false	false	true	true	true	true	true	true
mathml.elements.mo.form	false	false	true	true	true	true	true	true
mathml.elements.mo.largeop	false	false	true	true	true	true	true	true
mathml.elements.mo.lspace	false	false	true	true	true	true	true	true
mathml.elements.mo.maxsize	false	false	true	true	true	true	true	true
mathml.elements.mo.minsize	false	false	true	true	true	true	true	true
mathml.elements.mo.moveablelimits	false	false	true	true	true	true	true	true
mathml.elements.mo.rspace	false	false	true	true	true	true	true	true
mathml.elements.mo.stretchy	false	false	true	true	true	true	true	true
mathml.elements.mo.symmetric	false	false	true	true	true	true	true	true
mathml.elements.mover	false	false	true	true	true	true	true	true
mathml.elements.mover.accent	false	false	true	true	true	true	true	true
mathml.elements.mpadded	false	false	true	true	true	true	true	true
mathml.elements.mpadded.depth	false	false	true	true	true	true	true	true
mathml.elements.mpadded.height	false	false	true	true	true	true	true	true
mathml.elements.mpadded.lspace	false	false	true	true	true	true	true	true
mathml.elements.mpadded.voffset	false	false	true	true	true	true	true	true
mathml.elements.mpadded.width	false	false	true	true	true	true	true	true
mathml.elements.mphantom	false	false	true	true	true	true	true	true
mathml.elements.mroot	false	false	true	true	true	true	true	true
mathml.elements.mrow	false	false	true	true	true	true	true	true
mathml.elements.ms	false	false	true	true	true	true	true	true
mathml.elements.mspace	false	false	true	true	true	true	true	true
mathml.elements.mspace.depth	false	false	true	true	true	true	true	true
mathml.elements.mspace.height	false	false	true	true	true	true	true	true
mathml.elements.mspace.width	false	false	true	true	true	true	true	true
mathml.elements.msqrt	false	false	true	true	true	true	true	true
mathml.elements.mstyle	false	false	true	true	true	true	true	true
mathml.elements.msub	false	false	true	true	true	true	true	true
mathml.elements.msubsup	false	false	true	true	true	true	true	true
mathml.elements.msup	false	false	true	true	true	true	true	true
mathml.elements.mtable	false	false	true	true	true	true	true	true
mathml.elements.mtd	false	false	true	true	true	true	true	true
mathml.elements.mtd.columnspan	false	false	true	true	true	true	true	true
mathml.elements.mtd.rowspan	false	false	true	true	true	true	true	true
mathml.elements.mtext	false	false	true	true	true	true	true	true
mathml.elements.mtr	false	false	true	true	true	true	true	true
mathml.elements.munder	false	false	true	true	true	true	true	true
mathml.elements.munder.accentunder	false	false	true	true	true	true	true	true
mathml.elements.munderover	false	false	true	true	true	true	true	true
mathml.elements.munderover.accent	false	false	true	true	true	true	true	true
mathml.elements.munderover.accentunder	false	false	true	true	true	true	true	true
mathml.elements.semantics	false	false	true	true	true	true	true	true
mathml.global_attributes.dir	false	false	true	true	true	true	true	true
mathml.global_attributes.displaystyle	false	false	true	true	true	true	true	true
mathml.global_attributes.mathbackground	false	false	true	true	true	true	true	true
mathml.global_attributes.mathcolor	false	false	true	true	true	true	true	true
mathml.global_attributes.mathsize	false	false	true	true	true	true	true	true
svg.attributes.conditional_processing.requiredExtensions.mathml	false	false	true	true	true	true	true	true
webassembly.fixed-width-SIMD	true	true	true	false	true	true	true	true
webextensions.api.action	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.MAX_NUMBER_OF_DYNAMIC_AND_SESSION_RULES	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.MAX_NUMBER_OF_STATIC_RULESETS	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.Redirect	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.font	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.image	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.main_frame	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.media	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.ping	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.script	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.stylesheet	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.sub_frame	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.websocket	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.ResourceType.xmlhttprequest	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.Rule	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.RuleAction	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.RuleAction.requestHeaders	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.RuleAction.requestHeaders.header	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.RuleAction.requestHeaders.operation	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.RuleAction.requestHeaders.value	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.RuleCondition	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.RuleCondition.isUrlFilterCaseSensitive	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.RuleCondition.requestDomains	true	true	false	false	true	true	true	true
webextensions.api.declarativeNetRequest.URLTransform	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.URLTransform.queryTransform	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.URLTransform.queryTransform.addOrReplaceParams	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.URLTransform.queryTransform.addOrReplaceParams.replaceOnly	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.getDynamicRules	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.getEnabledRulesets	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.getSessionRules	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.isRegexSupported	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.updateDynamicRules	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.updateEnabledRulesets	true	true	false	true	true	true	true	true
webextensions.api.declarativeNetRequest.updateSessionRules	true	true	false	true	true	true	true	true
webextensions.api.scripting.RegisteredContentScript	true	true	true	false	true	true	true	true
webextensions.api.scripting.RegisteredContentScript.persistAcrossSessions	true	true	true	false	true	true	true	true
webextensions.api.scripting.getRegisteredContentScripts	true	true	true	false	true	true	true	true
webextensions.api.scripting.registerContentScripts	true	true	true	false	true	true	true	true
webextensions.api.scripting.unregisterContentScripts	true	true	true	false	true	true	true	true
webextensions.api.scripting.updateContentScripts	true	true	true	false	true	true	true	true
webextensions.api.storage.session	true	true	false	false	true	true	true	true
webextensions.manifest.action	true	true	false	true	true	true	true	true
webextensions.manifest.action.default_popup	true	true	false	true	true	true	true	true
webextensions.manifest.action.default_title	true	true	false	true	true	true	true	true
webextensions.manifest.declarative_net_request	true	true	false	true	true	true	true	true
webextensions.manifest.declarative_net_request.rule_resources	true	true	false	true	true	true	true	true
webextensions.manifest.declarative_net_request.rule_resources.enabled	true	true	false	true	true	true	true	true
webextensions.manifest.declarative_net_request.rule_resources.id	true	true	false	true	true	true	true	true
webextensions.manifest.declarative_net_request.rule_resources.path	true	true	false	true	true	true	true	true
webextensions.manifest.host_permissions	true	true	false	true	true	true	true	true
webextensions.manifest.optional_permissions.declarativeNetRequestFeedback	true	true	false	true	true	true	true	true
webextensions.manifest.permissions.declarativeNetRequest	true	true	false	true	true	true	true	true
webextensions.manifest.permissions.declarativeNetRequestFeedback	true	true	false	true	true	true	true	true
webextensions.manifest.permissions.declarativeNetRequestWithHostAccess	true	true	false	true	true	true	true	true
webextensions.manifest.web_accessible_resources.matches	true	true	false	true	true	true	true	true
webextensions.manifest.web_accessible_resources.resources	true	true	false	true	true	true	true	true
